Municipio;UF;Total;count;mean;std;min;25%;50%;75%;max
ALAGOINHA DO PIAUI;PI;1156877;1785;648.11;103.65;300;600;600;700;1260
ALAGOINHAS;BA;19397438;29832;650.22;134.28;180;600;600;700;2128
ALAMBARI;SP;162151;223;727.13;191.86;280;640;700;800;1486
ALBERTINA;MG;135571;195;695.24;195.58;255;600;700;780;1536
ALCANTARA;MA;4462486;6677;668.34;145.79;180;600;600;700;2462
ALCANTARAS;CE;882490;1290;684.1;171.89;205;600;650;750;1788
ALCANTIL;PB;656677;976;672.82;170.83;180;600;650;750;1878
ALCINOPOLIS;MS;280830;395;710.96;171.78;325;600;700;800;1694
ALCOBACA;BA;3298030;4774;690.83;163.02;205;600;650;750;2162
ALDEIAS ALTAS;MA;2897781;3935;736.41;228.23;205;600;700;800;2312
ALECRIM;RS;310616;462;672.33;138.93;300;600;650;750;1302
ALEGRE;ES;1760704;2583;681.65;150.28;230;600;650;750;1794
ALEGRETE;RS;2352268;3487;674.58;161.06;180;600;650;750;1836
ALEGRETE DO PIAUI;PI;686068;1048;654.65;126.19;205;600;640;750;1110
ALEGRIA;RS;198825;298;667.2;131.87;325;600;650;750;1318
ALEM PARAIBA;MG;2168298;3219;673.59;169.02;180;600;650;750;1862
ALENQUER;PA;9724390;13484;721.18;187.02;205;600;650;800;2262
ALEXANDRIA;RN;1541197;2329;661.74;125.19;205;600;650;750;1586
ALEXANIA;GO;3133270;4547;689.09;154.59;205;600;650;750;1978
ALFENAS;MG;3558031;5130;693.57;161.8;180;600;650;750;2120
ALFREDO CHAVES;ES;542745;797;680.98;161.97;230;600;650;750;1536
ALFREDO MARCONDES;SP;185949;282;659.39;139.97;300;600;650;750;1344
ALFREDO VASCONCELOS;MG;346384;516;671.29;193.04;205;600;650;750;1600
ALFREDO WAGNER;SC;381973;517;738.83;186.94;205;600;700;800;1636
ALGODAO DE JANDAIRA;PB;494881;695;712.06;171.23;255;600;650;800;1628
ALHANDRA;PB;3051621;4548;670.98;168.2;180;600;650;750;1884
ALIANCA;PE;5955671;9062;657.21;146.29;180;600;600;740;2120
ALIANCA DO TOCANTINS;TO;499270;706;707.18;187.33;205;600;650;800;1544
ALMADINA;BA;989059;1556;635.64;121.81;205;600;600;650;1494
ALMAS;TO;736769;988;745.72;207.84;255;600;750;800;2020
ALMEIRIM;PA;5370057;7275;738.15;218.35;50;600;670;800;2412
ALMENARA;MG;4311015;6545;658.67;164.17;180;600;600;750;2212
ALMINO AFONSO;RN;655210;1018;643.62;125.33;205;600;600;700;1394
ALMIRANTE TAMANDARE;PR;4121907;5778;713.38;214.3;205;600;700;800;2462
ALMIRANTE TAMANDARE DO SUL;RS;29628;42;705.43;218.11;255;600;675;750;1494
ALOANDIA;GO;97456;144;676.78;151.44;263;600;650;750;1210
ALPERCATA;MG;710375;1038;684.37;163.72;205;600;650;750;1878
ALPESTRE;RS;163069;257;634.51;196.64;205;600;650;750;1668
ALPINOPOLIS;MG;654661;954;686.23;184.22;205;600;700;800;1820
ALTA FLORESTA;MT;2426905;3456;702.23;186.33;205;600;650;800;2404
ALTA FLORESTA D'OESTE;RO;1150957;1643;700.52;201.87;205;600;700;800;1770
ALTAIR;SP;153613;231;664.99;148.55;255;600;640;750;1302
ALTAMIRA;PA;10372764;14507;715.02;190.27;180;600;700;800;1928
ALTAMIRA DO MARANHAO;MA;1248937;1849;675.47;136.73;280;600;650;750;1778
ALTAMIRA DO PARANA;PR;153027;234;653.96;197.5;205;592;650;750;1444
ALTANEIRA;CE;1118573;1661;673.43;151.24;300;600;650;750;1686
ALTEROSA;MG;734881;1055;696.57;182.74;230;600;650;800;1928
ALTINHO;PE;3602504;5480;657.39;129.79;205;600;600;700;1970
ALTINOPOLIS;SP;973865;1429;681.5;157.56;180;600;650;750;1576
ALTO ALEGRE;RR;1824785;2334;781.83;225.8;288;650;750;850;2212
ALTO ALEGRE;RS;46469;71;654.49;149.44;300;600;600;750;1102
ALTO ALEGRE;SP;184217;279;660.28;135.72;350;600;632;750;1392
ALTO ALEGRE DO MARANHAO;MA;3067392;4371;701.76;179.11;180;600;650;766;2070
ALTO ALEGRE DO PINDARE;MA;3758306;5066;741.87;197.0;205;600;700;800;2146
